id,xcentroid,ycentroid,RA,Dec,magnitude,observation_date,telescope,plate_center_RA_deg,plate_center_Dec_deg,band,mjd,link_id,observatory_code,mag_err,RA_err,Dec_err,image_frame_id,exposure_s,ml_probs
911,1401.9971245548409,786.4382757428566,345.19690943725544,20.83947745132037,18.37025671,2001-11-20T02:27:22,PALOM48,345.00809938901875,20.48903669705059,g,52233.10233796296,20011120022722c_911,644,0.22,0.7580700867164033,0.6539945438043694,20011120022722c,20,0.2007198851812513
1007,3953.2957932796835,868.8225256353614,344.4347101101819,20.81255513523849,18.79006083531639,2001-11-20T02:27:22,PALOM48,345.00809938901875,20.48903669705059,g,52233.10233796296,20011120022722c_1007,644,0.22,0.7580700867164033,0.6539945438043694,20011120022722c,20,0.933671529
1026,1085.0000666052517,888.9574513,345.2917415762227,20.81117612869641,17.670276464316593,2001-11-20T02:27:22,PALOM48,345.00809938901875,20.48903669705059,g,52233.10233796296,20011120022722c_1026,644,0.22,0.7580700867164033,0.6539945438043694,20011120022722c,20,0.6264735876269066
1155,1866.2036483287104,1000.6301576556215,345.0584836363128,20.779227918560004,19.532276895362312,2001-11-20T02:27:22,PALOM48,345.00809938901875,20.48903669705059,g,52233.10233796296,20011120022722c_1155,644,0.22,0.7580700867164033,0.6539945438043694,20011120022722c,20,0.7952435411484797
1174,83.69742036603513,1013.7366715803656,345.5909625,20.777020027298313,19.636479998482457,2001-11-20T02:27:22,PALOM48,345.00809938901875,20.48903669705059,g,52233.10233796296,20011120022722c_1174,644,0.22,0.7580700867164033,0.6539945438043694,20011120022722c,20,0.9999995498966024
1231,801.0916219932909,1060.885078784352,345.3767091690682,20.76345659,21.10520625541863,2001-11-20T02:27:22,PALOM48,345.00809938901875,20.48903669705059,g,52233.10233796296,20011120022722c_1231,644,0.22,0.7580700867164033,0.6539945438043694,20011120022722c,20,0.7140626973743694
1260,17.75470387398257,1079.1359442242515,345.6106848914566,20.758814443323534,18.424167944239233,2001-11-20T02:27:22,PALOM48,345.00809938901875,20.48903669705059,g,52233.10233796296,20011120022722c_1260,644,0.22,0.7580700867164033,0.6539945438043694,20011120022722c,20,0.7870229613164424
1314,3629.3280426138967,1128.001876340404,344.53211056181584,20.740881873380754,12.395803566032162,2001-11-20T02:27:22,PALOM48,345.00809938901875,20.48903669705059,g,52233.10233796296,20011120022722c_1314,644,0.22,0.7580700867164033,0.6539945438043694,20011120022722c,20,0.9449621333650567
1315,431.7167097569237,1131.447550274031,345.4870794315799,20.744025431199688,19.745410741100564,2001-11-20T02:27:22,PALOM48,345.00809938901875,20.48903669705059,g,52233.10233796296,20011120022722c_1315,644,0.22,0.7580700867164033,0.6539945438043694,20011120022722c,20,0.6749626620054908
1324,3329.968726138738,1138.122978580078,344.6215308,20.738631030949733,19.925664562490233,2001-11-20T02:27:22,PALOM48,345.00809938901875,20.48903669705059,g,52233.10233796296,20011120022722c_1324,644,0.22,0.7580700867164033,0.6539945438043694,20011120022722c,20,0.726776991
1474,2650.5953766688654,1241.790025428039,344.82460579995825,20.710862824448647,21.286785018997076,2001-11-20T02:27:22,PALOM48,345.00809938901875,20.48903669705059,g,52233.10233796296,20011120022722c_1474,644,0.22,0.7580700867164033,0.6539945438043694,20011120022722c,20,0.6317493857319845
1485,1751.3005435225468,1248.0166992412803,345.0931371639399,20.710355290849773,17.918381661882147,2001-11-20T02:27:22,PALOM48,345.00809938901875,20.48903669705059,g,52233.10233796296,20011120022722c_1485,644,0.22,0.7580700867164033,0.6539945438043694,20011120022722c,20,0.9999978618402143
1505,2464.334095247552,1258.6397113922637,344.8802503156251,20.70644514169394,19.644370483753047,2001-11-20T02:27:22,PALOM48,345.00809938901875,20.48903669705059,g,52233.10233796296,20011120022722c_1505,644,0.22,0.7580700867164033,0.6539945438043694,20011120022722c,20,0.9749327881570983
1727,295.58595718110644,1426.6256015286235,345.52789109444615,20.661797536364833,18.165745625352848,2001-11-20T02:27:22,PALOM48,345.00809938901875,20.48903669705059,g,52233.10233796296,20011120022722c_1727,644,0.22,0.7580700867164033,0.6539945438043694,20011120022722c,20,0.9999990407938026
1731,58.69319820269352,1432.3737767800508,345.59860076596135,20.660313917340666,20.919246992505805,2001-11-20T02:27:22,PALOM48,345.00809938901875,20.48903669705059,g,52233.10233796296,20011120022722c_1731,644,0.22,0.7580700867164033,0.6539945438043694,20011120022722c,20,0.10886479671010192
1734,147.3021399572303,1433.0941795293113,345.5721537,20.66007133131616,20.301389216377228,2001-11-20T02:27:22,PALOM48,345.00809938901875,20.48903669705059,g,52233.10233796296,20011120022722c_1734,644,0.22,0.7580700867164033,0.6539945438043694,20011120022722c,20,0.566742203
1825,1127.6562588426539,1496.5757389274474,345.27959662649545,20.641676202721197,21.198136654124678,2001-11-20T02:27:22,PALOM48,345.00809938901875,20.48903669705059,g,52233.10233796296,20011120022722c_1825,644,0.22,0.7580700867164033,0.6539945438043694,20011120022722c,20,0.9999897161507837
1831,2755.8309539074407,1498.6580537459645,344.7936640093608,20.639019328202068,19.345067996664532,2001-11-20T02:27:22,PALOM48,345.00809938901875,20.48903669705059,g,52233.10233796296,20011120022722c_1831,644,0.22,0.7580700867164033,0.6539945438043694,20011120022722c,20,0.9999914491190823
1855,1928.5205191985315,1511.6624335916172,345.04059466182076,20.636589977543693,18.99403958108593,2001-11-20T02:27:22,PALOM48,345.00809938901875,20.48903669705059,g,52233.10233796296,20011120022722c_1855,644,0.22,0.7580700867164033,0.6539945438043694,20011120022722c,20,0.9999997566568147
1985,557.5930975869862,1606.9088089225322,345.4498068249999,20.611362970250397,18.61526530189561,2001-11-20T02:27:22,PALOM48,345.00809938901875,20.48903669705059,g,52233.10233796296,20011120022722c_1985,644,0.22,0.7580700867164033,0.6539945438043694,20011120022722c,20,0.892984899
2008,726.7882534586233,1623.8287213255567,345.3993336,20.606522263187188,18.365207922372015,2001-11-20T02:27:22,PALOM48,345.00809938901875,20.48903669705059,g,52233.10233796296,20011120022722c_2008,644,0.22,0.7580700867164033,0.6539945438043694,20011120022722c,20,0.9999960546453545
2016,2706.399138536878,1626.1339609646773,344.80865091090953,20.603527521287248,18.955834712844904,2001-11-20T02:27:22,PALOM48,345.00809938901875,20.48903669705059,g,52233.10233796296,20011120022722c_2016,644,0.22,0.7580700867164033,0.6539945438043694,20011120022722c,20,0.078478805
2041,2011.9841285341251,1641.9410814143075,345.01587509945017,20.600135576743163,19.97379127610848,2001-11-20T02:27:22,PALOM48,345.00809938901875,20.48903669705059,g,52233.10233796296,20011120022722c_2041,644,0.22,0.7580700867164033,0.6539945438043694,20011120022722c,20,0.68700026
2051,1772.8982578393884,1649.6459682363275,345.0872231844814,20.59828864814996,19.109054615704242,2001-11-20T02:27:22,PALOM48,345.00809938901875,20.48903669705059,g,52233.10233796296,20011120022722c_2051,644,0.22,0.7580700867164033,0.6539945438043694,20011120022722c,20,0.9999998353475531
2204,3525.206372636057,1761.0806247759217,344.56465158746244,20.56439342,19.332495379081475,2001-11-20T02:27:22,PALOM48,345.00809938901875,20.48903669705059,g,52233.10233796296,20011120022722c_2204,644,0.22,0.7580700867164033,0.6539945438043694,20011120022722c,20,0.537358732
2267,2414.0189570528773,1816.0455793077756,344.8962090122539,20.55099016,19.863978147290158,2001-11-20T02:27:22,PALOM48,345.00809938901875,20.48903669705059,g,52233.10233796296,20011120022722c_2267,644,0.22,0.7580700867164033,0.6539945438043694,20011120022722c,20,0.9603568490528916
2331,431.8425162512914,1867.6984097537907,345.4874842709828,20.538720908540686,20.925634727823265,2001-11-20T02:27:22,PALOM48,345.00809938901875,20.48903669705059,g,52233.10233796296,20011120022722c_2331,644,0.22,0.7580700867164033,0.6539945438043694,20011120022722c,20,0.877085515
2411,2406.999043531928,1929.013054616808,344.8984909565152,20.51947835108118,19.888697443997117,2001-11-20T02:27:22,PALOM48,345.00809938901875,20.48903669705059,g,52233.10233796296,20011120022722c_2411,644,0.22,0.7580700867164033,0.6539945438043694,20011120022722c,20,0.7490589155777307
2440,467.12412031366875,1949.5167525334784,345.47701160469444,20.51588046276739,19.144311808637905,2001-11-20T02:27:22,PALOM48,345.00809938901875,20.48903669705059,g,52233.10233796296,20011120022722c_2440,644,0.22,0.7580700867164033,0.6539945438043694,20011120022722c,20,0.5102504747434289
2467,3348.382084989228,1963.9478721730409,344.6178377,20.50811474890482,19.228790229365366,2001-11-20T02:27:22,PALOM48,345.00809938901875,20.48903669705059,g,52233.10233796296,20011120022722c_2467,644,0.22,0.7580700867164033,0.6539945438043694,20011120022722c,20,0.9179205254083808
2487,1527.3737021484628,1985.7331732024168,345.16088059514635,20.50481723849075,17.723353261518582,2001-11-20T02:27:22,PALOM48,345.00809938901875,20.48903669705059,g,52233.10233796296,20011120022722c_2487,644,0.22,0.7580700867164033,0.6539945438043694,20011120022722c,20,0.36317171168172296
2556,2042.674586745844,2042.9310334842505,345.00730621754155,20.488215242516723,17.154488341223153,2001-11-20T02:27:22,PALOM48,345.00809938901875,20.48903669705059,g,52233.10233796296,20011120022722c_2556,644,0.22,0.7580700867164033,0.6539945438043694,20011120022722c,20,0.9758505145423034
2572,1422.855134990662,2054.6888685116273,345.19212471912033,20.48569742812027,19.285494154210117,2001-11-20T02:27:22,PALOM48,345.00809938901875,20.48903669705059,g,52233.10233796296,20011120022722c_2572,644,0.22,0.7580700867164033,0.6539945438043694,20011120022722c,20,0.9792937372318878
2722,955.7314739723707,2147.502408273255,345.3314793678131,20.460274918188563,21.758379963311324,2001-11-20T02:27:22,PALOM48,345.00809938901875,20.48903669705059,g,52233.10233796296,20011120022722c_2722,644,0.22,0.7580700867164033,0.6539945438043694,20011120022722c,20,0.3483013258209902
